Código Natureza Jurídica;Natureza Jurídica;Classificação
2135;EMPRESARIO INDIVIDUAL;PRIVADO
3077;SERVICO SOCIAL AUTONOMO;PRIVADO
3131;ENTIDADE SINDICAL;PRIVADO
4120;PRODUTOR RURAL PESSOA FISICA;PRIVADO
2151;CONSORCIO DE SOCIEDADES;PRIVADO
3220;ORGANIZACAO RELIGIOSA;PRIVADO
1201;FUNDO PUBLICO;PUBLICO
1015;ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;PUBLICO
4090;CANDIDATO A CARGO POLITICO ELETIVO;PRIVADO
2232;SOCIEDADE SIMPLES PURA;PRIVADO
1031;ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;PUBLICO
3999;ASSOCIACAO PRIVADA;PRIVADO
2046;SOCIEDADE ANONIMA ABERTA;PRIVADO
2062;SOCIEDADE EMPRESARIA LIMITADA;PRIVADO
1244;MUNICIPIO;PUBLICO
2070;SOCIEDADE EMPRESARIA EM NOME COLETIVO;PRIVADO
1104;AUTARQUIA FEDERAL;PUBLICO
5029;REPRESENTACAO DIPLOMATICA ESTRANGEIRA;PRIVADO
3069;FUNDACAO PRIVADA;PRIVADO
1066;ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;PUBLICO
2143;COOPERATIVA;PRIVADO
2240;SOCIEDADE SIMPLES LIMITADA;PRIVADO
2283;CONSORCIO DE EMPREGADORES;PRIVADO
2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;PRIVADO
2224;CLUBE FUNDO DE INVESTIMENTO;PRIVADO
3085;CONDOMINIO EDILICIO;PRIVADO
2038;SOCIEDADE DE ECONOMIA MISTA;MISTA
1120;AUTARQUIA MUNICIPAL;PUBLICO
3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;PUBLICO
4014;EMPRESA INDIVIDUAL IMOBILIARIA;PRIVADO
2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;PRIVADO
2011;EMPRESA PUBLICA;PUBLICO
3263;ORGAO DE DIRECAO REGIONAL DE PARTIDO POLITICO;PUBLICO
2054;SOCIEDADE ANONIMA FECHADA;PRIVADO
2127;SOCIEDADE EM CONTA DE PARTICIPACAO;PRIVADO
1147;FUNDACAO PUB DE DIREITO PUB EST OU DO DF;PUBLICO
1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;PUBLICO
3034;SERVICO NOTARIAL E REGISTRAL CARTORIO;PRIVADO
